"FileName","LineStart","LineEnd","Code","CharStart","CharEnd","LabelValue"
"Clone951.java","9","9","    LayoutInflater inflater = LayoutInflater.from (mContext);","1","61","-2.0"
"Clone951.java","10","10","    ViewGroup layout = (ViewGroup) inflater.inflate (R.layout.account_dialog_signin_viewpagers, collection, false);","1","115","-2.0"
"Clone951.java","11","11","    TextView tvLabel = (TextView) layout.findViewById (R.id.textView);","1","70","-2.0"
"Clone951.java","12","12","    switch (position) {","1","23","-1.0"
"Clone951.java","13","13","        case 0 :","1","16","-1.0"
"Clone951.java","14","14","            tvLabel.setText (""Log In"");","1","39","-1.0"
"Clone951.java","15","15","            tvLabel.setOnClickListener (new View.OnClickListener () {","1","69","1.0"
"Clone951.java","16","16","                @Override","1","25","1.0"
"Clone951.java","17","17","                public void onClick (View v) {","1","46","1.0"
"Clone951.java","18","18","                }}","1","18","1.0"
"Clone951.java","19","19","            );","1","14","1.0"
"Clone951.java","20","20","            break;","1","18","-1.0"
"Clone951.java","21","21","        case 1 :","1","16","-1.0"
"Clone951.java","22","22","            tvLabel.setText (""Sign Up"");","1","40","-1.0"
"Clone951.java","23","23","            tvLabel.setOnClickListener (new View.OnClickListener () {","1","69","1.0"
"Clone951.java","24","24","                @Override","1","25","1.0"
"Clone951.java","25","25","                public void onClick (View v) {","1","46","1.0"
"Clone951.java","26","26","                }}","1","18","1.0"
"Clone951.java","27","27","            );","1","14","1.0"
"Clone951.java","28","28","            break;","1","18","-1.0"
"Clone951.java","29","29","        case 2 :","1","16","-1.0"
"Clone951.java","30","30","            tvLabel.setText (""Send Reset Link"");","1","48","-1.0"
"Clone951.java","31","31","            tvLabel.setOnClickListener (new View.OnClickListener () {","1","69","1.0"
"Clone951.java","32","32","                @Override","1","25","1.0"
"Clone951.java","33","33","                public void onClick (View v) {","1","46","1.0"
"Clone951.java","34","34","                }}","1","18","1.0"
"Clone951.java","35","35","            );","1","14","1.0"
"Clone951.java","36","36","            break;","1","18","-1.0"
"Clone951.java","37","37","    }","1","5","-1.0"
"Clone951.java","38","38","    collection.addView (layout);","1","32","1.0"
"Clone951.java","39","39","    return layout;","1","18","1.0"
"Clone951.java","43","43","    Button button = new Button (container.getContext ());","1","57","-2.0"
"Clone951.java","44","44","    ViewGroup.LayoutParams params = new ViewGroup.LayoutParams (ViewGroup.LayoutParams.WRAP_CONTENT, ViewGroup.LayoutParams.WRAP_CONTENT);","1","138","-2.0"
"Clone951.java","45","45","    button.setLayoutParams (params);","1","36","-2.0"
"Clone951.java","46","46","    button.setText (String.valueOf (position));","1","47","-2.0"
"Clone951.java","47","47","    LinearLayout layout = new LinearLayout (container.getContext ());","1","69","-2.0"
"Clone951.java","48","48","    layout.setOrientation (LinearLayout.VERTICAL);","1","50","-2.0"
"Clone951.java","49","49","    ViewGroup.LayoutParams layoutParams = new ViewGroup.LayoutParams (ViewGroup.LayoutParams.MATCH_PARENT, ViewGroup.LayoutParams.MATCH_PARENT);","1","144","-2.0"
"Clone951.java","50","50","    layout.addView (button);","1","28","-2.0"
"Clone951.java","51","51","    final int page = position;","1","4","-2.0"
"Clone951.java","51","51","final int page = position;","4","30","-1.0"
"Clone951.java","52","52","    button.setOnClickListener (new View.OnClickListener () {","1","60","1.0"
"Clone951.java","53","53","        @Override","1","17","1.0"
"Clone951.java","54","54","        public void onClick (View v) {","1","38","1.0"
"Clone951.java","55","55","            Toast.makeText (container.getContext (), ""You clicked: "" + page + "". page."", Toast.LENGTH_SHORT).show ();","1","117","-2.0"
"Clone951.java","56","56","        }}","1","10","1.0"
"Clone951.java","57","57","    );","1","6","1.0"
"Clone951.java","58","58","    container.addView (layout);","1","31","1.0"
"Clone951.java","59","59","    return layout;","1","18","1.0"
"Clone85.java","32","32","    for (Node toolBar = htmlEditor.lookup ("".tool-bar"");","1","56","1.0"
"Clone85.java","33","33","    toolBar != null; toolBar = htmlEditor.lookup ("".tool-bar"")) {","1","65","1.0"
"Clone85.java","34","34","        ((Pane) toolBar.getParent ()).getChildren ().remove (toolBar);","1","70","1.0"
"Clone85.java","35","35","    }","1","5","1.0"
"Clone85.java","9","9","    final HTMLEditor htmlEditor = new HTMLEditor ();","1","52","1.0"
"Clone85.java","10","10","    stage.setScene (new Scene (htmlEditor));","1","44","1.0"
"Clone85.java","11","11","    stage.setWidth (300);","1","25","-1.0"
"Clone85.java","12","12","    stage.setHeight (200);","1","26","-1.0"
"Clone85.java","13","13","stage.show ();","4","18","1.0"
"Clone85.java","14","14","    addCustomToolBarTo (htmlEditor);","1","36","-2.0"
"Clone85.java","15","15","    printChildren (htmlEditor, 20);","1","35","-2.0"
"Clone85.java","16","16","    moveFromTo (htmlEditor, ""PopupButton"", 0, ""ToolBar"", 2);","1","60","-2.0"
"Clone85.java","17","17","    moveFromTo (htmlEditor, ""PopupButton"", 1, ""ToolBar"", 2);","1","60","-2.0"
"Clone85.java","18","18","    moveFromTo (htmlEditor, ""Separator"", 4, ""ToolBar"", 2);","1","58","-2.0"
"Clone85.java","19","19","    moveFromTo (htmlEditor, ""ComboBox"", 2, ""ToolBar"", 2);","1","57","-2.0"
"Clone85.java","20","20","    moveFromTo (htmlEditor, ""Separator"", 5, ""ToolBar"", 2);","1","58","-2.0"
"Clone85.java","21","21","    moveFromTo (htmlEditor, ""ToggleButton"", 6, ""ToolBar"", 2);","1","61","-2.0"
"Clone85.java","22","22","    moveFromTo (htmlEditor, ""ToggleButton"", 7, ""ToolBar"", 2);","1","61","-2.0"
"Clone85.java","23","23","    moveFromTo (htmlEditor, ""ToggleButton"", 8, ""ToolBar"", 2);","1","61","-2.0"
"Clone85.java","24","24","    removeFrom (htmlEditor, ""ToolBar"", 1);","1","42","1.0"
"Clone85.java","25","25","    removeFrom (htmlEditor, ""ToolBar"", 0);","1","42","1.0"
"Clone85.java","29","29","    final HTMLEditor htmlEditor = new HTMLEditor ();","1","52","1.0"
"Clone85.java","30","30","    primaryStage.setScene (new Scene (htmlEditor));","1","51","1.0"
"Clone85.java","31","31","    primaryStage.show ();","1","25","1.0"
"Clone54.java","9","9","    if ((expression.length () % 2) == 1) return false;","1","4","2.0"
"Clone54.java","9","9","    if ((expression.length () % 2) == 1) return false;","4","54","2.0"
"Clone54.java","10","10","    else {","1","4","2.0"
"Clone54.java","10","10","    else {","4","10","1.0"
"Clone54.java","11","11","        Stack < Character > s = new Stack < > ();","1","49","2.0"
